id,chess960_games,chess960_rating,chess960_rd,chess960_prog,chess960_prov,puzzle_games,puzzle_rating,puzzle_rd,puzzle_prog,puzzle_prov,racingKings_games,racingKings_rating,racingKings_rd,racingKings_prog,racingKings_prov,ultraBullet_games,ultraBullet_rating,ultraBullet_rd,ultraBullet_prog,ultraBullet_prov,blitz_games,blitz_rating,blitz_rd,blitz_prog,blitz_prov,kingOfTheHill_games,kingOfTheHill_rating,kingOfTheHill_rd,kingOfTheHill_prog,kingOfTheHill_prov,crazyhouse_games,crazyhouse_rating,crazyhouse_rd,crazyhouse_prog,crazyhouse_prov,threeCheck_games,threeCheck_rating,threeCheck_rd,threeCheck_prog,threeCheck_prov,bullet_games,bullet_rating,bullet_rd,bullet_prog,bullet_prov,correspondence_games,correspondence_rating,correspondence_rd,correspondence_prog,correspondence_prov,classical_games,classical_rating,classical_rd,classical_prog,classical_prov,rapid_games,rapid_rating,rapid_rd,rapid_prog,rapid_prov,storm_runs,storm_score,racer_runs,racer_score,streak_runs,streak_score
kingtaha2018,,,,,,778.0,1464.0,61.0,0.0,,,,,,,4.0,1191.0,190.0,0.0,True,22.0,1159.0,101.0,40.0,,,,,,,,,,,,,,,,,235.0,1365.0,79.0,19.0,,0.0,1500.0,500.0,0.0,True,3.0,1568.0,201.0,0.0,True,1539.0,1613.0,45.0,44.0,,,,,,,
caubicavalheiro,,,,,,,,,,,,,,,,,,,,,1.0,1278.0,291.0,0.0,True,,,,,,,,,,,,,,,,0.0,1500.0,500.0,0.0,True,0.0,1500.0,500.0,0.0,True,0.0,1500.0,500.0,0.0,True,1.0,1277.0,290.0,0.0,True,,,,,,
ultrajumbodumbo,,,,,,1241.0,1681.0,67.0,0.0,,,,,,,,,,,,180.0,1240.0,73.0,-9.0,,,,,,,,,,,,,,,,,10.0,879.0,152.0,0.0,True,0.0,1500.0,500.0,0.0,True,0.0,1500.0,500.0,0.0,True,698.0,1620.0,60.0,-11.0,,,,,,,
kennethpr,1.0,1328.0,268.0,0.0,True,38.0,1729.0,205.0,0.0,True,,,,,,,,,,,182.0,1567.0,67.0,-22.0,,,,,,,,,,,,,,,,,2.0,1327.0,242.0,0.0,True,0.0,1500.0,500.0,0.0,True,1.0,1375.0,339.0,0.0,True,160.0,1718.0,59.0,45.0,,,,,,,
akudgir_19-52,322.0,1441.0,48.0,10.0,,37.0,1910.0,209.0,-115.0,True,,,,,,,,,,,5733.0,1654.0,45.0,19.0,,,,,,,,,,,,,,,,,35.0,1297.0,105.0,29.0,,0.0,1500.0,500.0,0.0,True,0.0,1500.0,500.0,0.0,True,272.0,1611.0,56.0,-44.0,,,,,,,
dhruvdshora,,,,,,1571.0,2014.0,67.0,0.0,,,,,,,,,,,,89.0,1296.0,72.0,12.0,,,,,,,,,,,,,,,,,531.0,1237.0,70.0,-43.0,,2.0,1682.0,285.0,0.0,True,96.0,1580.0,96.0,3.0,,57.0,1542.0,111.0,21.0,True,,,,,,
tyretear,,,,,,30.0,1608.0,221.0,81.0,True,,,,,,,,,,,5059.0,1471.0,48.0,-16.0,,,,,,,,,,,,,,,,,4.0,1012.0,206.0,0.0,True,0.0,1500.0,500.0,0.0,True,0.0,1500.0,500.0,0.0,True,10.0,1516.0,152.0,0.0,True,,,,,,
gredy,,,,,,,,,,,,,,,,,,,,,1.0,1284.0,291.0,0.0,True,,,,,,,,,,,,,,,,0.0,1500.0,500.0,0.0,True,0.0,1500.0,500.0,0.0,True,0.0,1500.0,500.0,0.0,True,1.0,1214.0,296.0,0.0,True,,,,,,
ruciosucio,66.0,1696.0,114.0,7.0,True,6171.0,2161.0,69.0,0.0,,,,,,,551.0,1593.0,54.0,-41.0,,3221.0,2062.0,45.0,-10.0,,,,,,,7.0,1670.0,195.0,0.0,True,,,,,,19416.0,2085.0,45.0,-13.0,,150.0,2120.0,98.0,74.0,,24.0,1913.0,152.0,45.0,True,346.0,2020.0,108.0,-26.0,,150.0,41.0,6.0,42.0,7.0,29.0
yasinhavuz,,,,,,11.0,2140.0,197.0,0.0,True,,,,,,,,,,,145.0,1358.0,84.0,-2.0,,,,,,,,,,,,,,,,,2.0,1120.0,263.0,0.0,True,0.0,1500.0,500.0,0.0,True,0.0,1500.0,500.0,0.0,True,65.0,1646.0,126.0,29.0,True,,,,,,
dandionella,,,,,,5216.0,1847.0,64.0,0.0,,,,,,,,,,,,37.0,1272.0,81.0,34.0,,,,,,,,,,,,,,,,,2.0,1232.0,228.0,0.0,True,13.0,1525.0,156.0,192.0,True,538.0,1613.0,53.0,30.0,,221.0,1386.0,63.0,-45.0,,,,,,,
rottweil,,,,,,33.0,1514.0,108.0,0.0,,,,,,,,,,,,0.0,1500.0,500.0,0.0,True,,,,,,,,,,,,,,,,0.0,1500.0,500.0,0.0,True,0.0,1500.0,500.0,0.0,True,0.0,1500.0,500.0,0.0,True,2188.0,1273.0,47.0,13.0,,,,,,,
zestykesty,,,,,,908.0,1915.0,62.0,0.0,,2.0,1328.0,277.0,0.0,True,27.0,1091.0,144.0,-48.0,True,410.0,1437.0,46.0,16.0,,,,,,,1.0,1337.0,316.0,0.0,True,,,,,,428.0,1369.0,48.0,-5.0,,1.0,1383.0,312.0,0.0,True,34.0,1503.0,102.0,77.0,,191.0,1358.0,54.0,15.0,,,,,,1.0,14.0
romguba,58.0,1914.0,115.0,2.0,True,99.0,2256.0,198.0,33.0,True,,,,,,,,,,,1421.0,2153.0,65.0,11.0,,,,,,,,,,,,,,,,,741.0,2037.0,63.0,-48.0,,0.0,1500.0,500.0,0.0,True,0.0,1500.0,500.0,0.0,True,88.0,2152.0,78.0,-86.0,,,,,,,
papucho03,,,,,,14.0,1458.0,116.0,0.0,True,,,,,,,,,,,5.0,1135.0,156.0,0.0,True,,,,,,,,,,,,,,,,3.0,1513.0,193.0,0.0,True,0.0,1500.0,500.0,0.0,True,0.0,1500.0,500.0,0.0,True,0.0,1500.0,500.0,0.0,True,,,,,,
reflexxx16,,,,,,333.0,1304.0,78.0,0.0,,,,,,,,,,,,0.0,1500.0,500.0,0.0,True,,,,,,,,,,,,,,,,0.0,1500.0,500.0,0.0,True,0.0,1500.0,500.0,0.0,True,0.0,1500.0,500.0,0.0,True,11.0,1287.0,108.0,0.0,,,,,,,
markyunusov,186.0,1471.0,76.0,22.0,,2838.0,1780.0,70.0,0.0,,,,,,,157.0,1171.0,67.0,-28.0,,541.0,1324.0,61.0,22.0,,,,,,,,,,,,,,,,,124.0,1103.0,81.0,-13.0,,5.0,1369.0,183.0,0.0,True,10.0,1306.0,161.0,0.0,True,457.0,1444.0,56.0,-34.0,,,,,,,
dreihu,,,,,,202.0,2149.0,75.0,0.0,,,,,,,,,,,,6.0,1227.0,141.0,0.0,True,,,,,,,,,,,,,,,,1.0,1315.0,295.0,0.0,True,0.0,1500.0,500.0,0.0,True,0.0,1500.0,500.0,0.0,True,3.0,1266.0,192.0,0.0,True,,,,,,
mda1964,,,,,,5.0,1900.0,190.0,0.0,True,,,,,,,,,,,289.0,2138.0,45.0,-8.0,,,,,,,,,,,,,,,,,121.0,2064.0,45.0,28.0,,0.0,1500.0,500.0,0.0,True,0.0,1500.0,500.0,0.0,True,2.0,1927.0,223.0,0.0,True,,,,,,
cherrycherrylady,2.0,1080.0,279.0,0.0,True,105.0,1662.0,117.0,0.0,True,149.0,1568.0,71.0,40.0,,16.0,1132.0,171.0,63.0,True,322.0,1025.0,104.0,-3.0,,7.0,1231.0,228.0,0.0,True,3.0,1239.0,249.0,0.0,True,4.0,1574.0,220.0,0.0,True,15.0,772.0,150.0,-42.0,True,0.0,1500.0,500.0,0.0,True,0.0,1500.0,500.0,0.0,True,550.0,1469.0,45.0,-15.0,,1.0,13.0,,,,
berkayc23,9.0,1693.0,187.0,0.0,True,5780.0,2065.0,68.0,0.0,,,,,,,156.0,1389.0,60.0,-14.0,,1264.0,1908.0,45.0,-36.0,,,,,,,27.0,1502.0,173.0,36.0,True,,,,,,1481.0,1809.0,48.0,-7.0,,8.0,1577.0,151.0,0.0,True,3.0,1605.0,287.0,0.0,True,1060.0,2020.0,66.0,29.0,,136.0,40.0,6.0,48.0,8.0,31.0
