id,patron,language,title,nbFollowing,nbFollowers,completionRate,chess960_games,chess960_rating,chess960_rd,chess960_prog,chess960_prov,puzzle_games,puzzle_rating,puzzle_rd,puzzle_prog,puzzle_prov,racingKings_games,racingKings_rating,racingKings_rd,racingKings_prog,racingKings_prov,ultraBullet_games,ultraBullet_rating,ultraBullet_rd,ultraBullet_prog,ultraBullet_prov,blitz_games,blitz_rating,blitz_rd,blitz_prog,blitz_prov,kingOfTheHill_games,kingOfTheHill_rating,kingOfTheHill_rd,kingOfTheHill_prog,kingOfTheHill_prov,crazyhouse_games,crazyhouse_rating,crazyhouse_rd,crazyhouse_prog,crazyhouse_prov,threeCheck_games,threeCheck_rating,threeCheck_rd,threeCheck_prog,threeCheck_prov,bullet_games,bullet_rating,bullet_rd,bullet_prog,bullet_prov,correspondence_games,correspondence_rating,correspondence_rd,correspondence_prog,correspondence_prov,classical_games,classical_rating,classical_rd,classical_prog,classical_prov,rapid_games,rapid_rating,rapid_rd,rapid_prog,rapid_prov,storm_runs,storm_score,racer_runs,racer_score,streak_runs,streak_score,profile_country,profile_location,profile_fideRating,playTime_total,playTime_tv
kapapretta,,pt-BR,,18.0,12.0,83.0,,,,,,1706.0,2148.0,75.0,0.0,,,,,,,,,,,,6139.0,2057.0,63.0,-3.0,,,,,,,1.0,1219.0,349.0,0.0,True,,,,,,4879.0,1931.0,55.0,8.0,,0.0,1500.0,500.0,0.0,True,14.0,1842.0,178.0,22.0,True,165.0,2066.0,107.0,9.0,,,,,,,,,,,3104316.0,0.0
jan-daniel,,en-US,,0.0,8.0,73.0,,,,,,55.0,1331.0,124.0,0.0,True,,,,,,,,,,,104.0,753.0,95.0,-10.0,,,,,,,,,,,,,,,,,4.0,1378.0,220.0,0.0,True,0.0,1500.0,500.0,0.0,True,17.0,1143.0,135.0,69.0,True,91.0,1240.0,72.0,95.0,,,,,,,,,,,95040.0,0.0
darabog,,en-US,,6.0,6.0,90.0,,,,,,2883.0,1513.0,61.0,0.0,,,,,,,,,,,,580.0,1228.0,78.0,28.0,,,,,,,,,,,,,,,,,54.0,1143.0,106.0,67.0,,0.0,1500.0,500.0,0.0,True,81.0,1115.0,124.0,1.0,True,163.0,1479.0,53.0,65.0,,,,,,,,BG,Divdqdovo,,330137.0,0.0
antek_r,,pl-PL,,2.0,1.0,97.0,,,,,,1076.0,2043.0,77.0,0.0,,,,,,,,,,,,102.0,1290.0,67.0,-41.0,,,,,,,,,,,,1.0,1741.0,412.0,0.0,True,11.0,1135.0,145.0,0.0,True,0.0,1500.0,500.0,0.0,True,0.0,1500.0,500.0,0.0,True,72.0,1507.0,96.0,-75.0,,3.0,18.0,1.0,14.0,,,PL,,,298454.0,0.0
tiamtom09,,es-ES,,0.0,0.0,80.0,,,,,,,,,,,,,,,,,,,,,52.0,1114.0,103.0,-5.0,,,,,,,8.0,1359.0,218.0,0.0,True,44.0,1499.0,116.0,-34.0,True,5.0,891.0,201.0,0.0,True,0.0,1500.0,500.0,0.0,True,0.0,1500.0,500.0,0.0,True,0.0,1500.0,500.0,0.0,True,,,,,,,,,,28285.0,110.0
coach_jr,,en-US,,3.0,2.0,77.0,,,,,,48.0,1611.0,124.0,0.0,True,2.0,1240.0,265.0,0.0,True,2.0,1319.0,300.0,0.0,True,26.0,1674.0,107.0,-260.0,,1.0,1944.0,350.0,0.0,True,,,,,,,,,,,48.0,1224.0,79.0,-26.0,,2.0,1909.0,328.0,0.0,True,5.0,1957.0,195.0,0.0,True,267.0,1315.0,62.0,17.0,,,,1.0,2.0,,,GB,,,125308.0,0.0
maroni69,,de-DE,,5.0,5.0,85.0,,,,,,56.0,1440.0,110.0,0.0,True,,,,,,,,,,,43.0,838.0,90.0,-18.0,,,,,,,,,,,,,,,,,56.0,822.0,85.0,-29.0,,0.0,1500.0,500.0,0.0,True,0.0,1500.0,500.0,0.0,True,6.0,1437.0,169.0,0.0,True,,,,,,,,,,137645.0,0.0
lider2008,,az-AZ,,28.0,56.0,80.0,2.0,2013.0,237.0,0.0,True,49.0,2214.0,126.0,0.0,True,1.0,1379.0,338.0,0.0,True,279.0,1702.0,67.0,17.0,,777.0,2212.0,64.0,-8.0,,16.0,1766.0,122.0,-27.0,True,,,,,,27.0,1903.0,104.0,145.0,,884.0,2211.0,73.0,31.0,,0.0,1500.0,500.0,0.0,True,0.0,1500.0,500.0,0.0,True,40.0,2144.0,95.0,-50.0,,,,,,,,AZ,Baku,1621.0,437302.0,237.0
zatoecchi,,en-GB,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,1500.0,500.0,0.0,True,,,,,,,,,,,,,,,,0.0,1500.0,500.0,0.0,True,0.0,1500.0,500.0,0.0,True,0.0,1500.0,500.0,0.0,True,1.0,1612.0,354.0,0.0,True,,,,,,,,,,353.0,0.0
kemogo777,,ar-SA,,0.0,0.0,74.0,,,,,,46.0,2350.0,124.0,0.0,True,,,,,,2.0,1243.0,250.0,0.0,True,29.0,1546.0,99.0,-69.0,,,,,,,,,,,,,,,,,2.0,1280.0,272.0,0.0,True,0.0,1500.0,500.0,0.0,True,0.0,1500.0,500.0,0.0,True,1.0,1392.0,353.0,0.0,True,,,,,,,,,,6719.0,0.0
concejoindigenous,,de-DE,,0.0,0.0,82.0,,,,,,,,,,,,,,,,,,,,,23.0,1593.0,93.0,-15.0,,,,,,,,,,,,,,,,,0.0,1500.0,500.0,0.0,True,0.0,1500.0,500.0,0.0,True,0.0,1500.0,500.0,0.0,True,0.0,1500.0,500.0,0.0,True,,,,,,,,,,6225.0,0.0
shishupandey,,en-US,,0.0,0.0,80.0,,,,,,,,,,,,,,,,,,,,,20.0,2238.0,94.0,27.0,,,,,,,,,,,,,,,,,3.0,1161.0,200.0,0.0,True,0.0,1500.0,500.0,0.0,True,0.0,1500.0,500.0,0.0,True,0.0,1500.0,500.0,0.0,True,,,,,,,,,,38367.0,0.0
lorddarker987,,en-US,,6.0,0.0,70.0,,,,,,23.0,1897.0,187.0,0.0,True,,,,,,,,,,,85.0,1139.0,89.0,-6.0,,,,,,,,,,,,,,,,,57.0,909.0,104.0,71.0,,0.0,1500.0,500.0,0.0,True,0.0,1500.0,500.0,0.0,True,15.0,1428.0,129.0,51.0,True,,,,,,,,,,46385.0,0.0
sazond,,ru-RU,,0.0,3.0,100.0,,,,,,,,,,,,,,,,,,,,,3399.0,1776.0,56.0,-17.0,,,,,,,,,,,,,,,,,12720.0,1519.0,45.0,33.0,,0.0,1500.0,500.0,0.0,True,0.0,1500.0,500.0,0.0,True,0.0,1500.0,500.0,0.0,True,,,,,,,RU,Moscow,,4704666.0,0.0
alone15n,,es-ES,,2.0,4.0,97.0,11.0,1635.0,201.0,0.0,True,363.0,1757.0,76.0,0.0,,,,,,,65.0,1079.0,110.0,23.0,True,3133.0,1630.0,63.0,15.0,,,,,,,2.0,1532.0,289.0,0.0,True,,,,,,2942.0,1652.0,45.0,8.0,,47.0,1713.0,175.0,-4.0,True,1.0,1662.0,326.0,0.0,True,176.0,1538.0,101.0,-28.0,,,,4.0,33.0,,,,,,1321279.0,0.0
kamal_razali,,en-US,,0.0,0.0,87.0,,,,,,44.0,1431.0,91.0,0.0,,,,,,,,,,,,93.0,1186.0,62.0,-5.0,,,,,,,,,,,,,,,,,0.0,1500.0,500.0,0.0,True,0.0,1500.0,500.0,0.0,True,27.0,1509.0,85.0,-104.0,,76.0,1527.0,52.0,-34.0,,,,,,,,,,,124835.0,0.0
